"""Customer Submitted Items"" cannot be purchased","""الأصناف المقدمة من العملاء"" لا يمكن شرائها"
"""Customer Provided Item"" cannot have Valuation Rate","""الأصناف المقدمة من العملاء"" لا يمكن ان تحتوي على تكلفة"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""اصل ثابت"" لا يمكن أن يكون غير محدد، حيث يوجد سجل أصول مقابل البند"
Based On' and 'Group By' can not be same,على أساس' و 'المجموعة حسب' لا يمكن أن يكونا نفس الشيء
Days Since Last Order' must be greater than or equal to zero,"يجب أن تكون ""الأيام منذ آخر طلب"" أكبر من أو تساوي الصفر"
Entries' cannot be empty,المدخلات لا يمكن أن تكون فارغة
From Date' is required,من تاريخ (مطلوب)
From Date' must be after 'To Date',"""من تاريخ "" يجب أن يكون بعد "" إلى تاريخ """
Has Serial No' can not be 'Yes' for non-stock item,"""لهُ رقم تسلسل""  لا يمكن ان يكون ""نعم"" لبند غير قابل للتخزين"
Opening',افتتاحي'
To Case No.' cannot be less than 'From Case No.',الى الحالة  رقم' لا يمكن أن يكون أقل من 'من الحالة رقم'
To Date' is required,إلى تاريخ ' مطلوب
Total',الإجمالي
Update Stock' can not be checked because items are not delivered via {0},لايمكن تحديث المخزون
Update Stock' cannot be checked for fixed asset sale,لا يمكن التحقق من ' تحديث المخزون ' لبيع الأصول الثابتة
) for {0},) لـ {0}
1 exact match.,1 تطابق تام.
90-Above,90 و أكثر
A Customer Group exists with same name please change the Customer name or rename the Customer Group,مجموعة المستهلكين موجودة بنفس الاسم أرجو تغير اسم العميل أو اعادة تسمية مجموعة المستهلكين
A Default Service Level Agreement already exists.,اتفاقية مستوى الخدمة موجودة بالفعل.
A Lead requires either a person's name or an organization's name,يتطلب العميل المحتمل إما اسم الشخص أو اسم المؤسسة التابع لها
A customer with the same name already exists,يوجد عميل يحمل الاسم نفسه من قبل
A question must have more than one options,يجب أن يكون للسؤال أكثر من خيار
A qustion must have at least one correct options,يجب أن يحتوي السؤال على خيارات صحيحة واحدة على الأقل
A {0} exists between {1} and {2} (,{0} موجود بين {1} و {2} (
A4,A4
API Endpoint,نقطة وصولAPI
API Key,مفتاح API
Abbr can not be blank or space,الاسم المختصر لا يمكن أن يكون فارغاً او به مسافة
Abbreviation already used for another company,الاختصار يستخدم بالفعل لشركة أخرى
Abbreviation cannot have more than 5 characters,الاختصارات لا يمكن أن تكون أكثر من 5 حروف
Abbreviation is mandatory,يجب إدخال الإسم المختصر
About the Company,عن الشركة
About your company,عن شركتك
Above,فوق
Absent,غائب
Academic Term,الفصل الأكاديمي
Academic Term:,الشروط الأكاديمية :
Academic Year,السنة الدراسية
Academic Year:,السنة الأكاديمية:
Accepted + Rejected Qty must be equal to Received quantity for Item {0},الكمية المقبولة + الكمية المرفوضة يجب أن تساوي الكمية المستلمة من الصنف {0}
Access Token,رمز وصول
Accessable Value,قيمة الوصول
Account,حساب
Account Number,رقم الحساب
Account Number {0} already used in account {1},رقم الحساب {0} بالفعل مستخدم في الحساب {1}
Account Pay Only,حساب الدفع فقط
Account Type,نوع الحساب
Account Type for {0} must be {1},نوع الحساب {0} يجب ان يكون {1}
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",رصيد الحساب بالفعل دائن ، لا يسمح لك لتعيين ' الرصيد يجب ان يكون ' ك ' مدين '
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",رصيد الحساب رصيد مدين، لا يسمح لك بتغييره 'الرصيد يجب أن يكون دائن'
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,رقم الحساب للحساب {0} غير متوفر. <br> يرجى إعداد مخطط الحسابات بشكل صحيح.
Account with child nodes cannot be converted to ledger,لا يمكن تحويل الحساب إلى دفتر الحسابات لأن لديه حسابات فرعية
Account with child nodes cannot be set as ledger,الحساب لديه حسابات فرعية لا يمكن إضافته لدفتر الأستاذ.
Account with existing transaction can not be converted to group.,لا يمكن تحويل حساب جرت عليه أي عمليات حسابية إلي مجموعة
Account with existing transaction can not be deleted,الحساب لديه معاملات موجودة لا يمكن حذفه
Account with existing transaction cannot be converted to ledger,لا يمكن تحويل الحساب مع الحركة الموجودة إلى دفتر الأستاذ
Account {0} does not belong to company: {1},الحساب {0} لا يتنمى للشركة {1}
Account {0} does not belongs to company {1},الحساب {0} لا ينتمي للشركة {1}
Account {0} does not exist,حساب {0} غير موجود
Account {0} does not exists,الحساب {0} غير موجود
Account {0} does not match with Company {1} in Mode of Account: {2},الحساب {0} لا يتطابق مع الشركة {1} في طريقة الحساب: {2}
Account {0} has been entered multiple times,الحساب {0} تم إدخاله عدة مرات
Account {0} is added in the child company {1},تتم إضافة الحساب {0} في الشركة التابعة {1}
Account {0} is frozen,الحساب {0} مجمد
Account {0} is invalid. Account Currency must be {1},الحساب {0} غير صحيح. يجب أن تكون عملة الحساب {1}
Account {0}: Parent account {1} can not be a ledger,الحساب {0}: الحساب الرئيسي {1} لا يمكن أن يكون حساب دفتر الحسابات
Account {0}: Parent account {1} does not belong to company: {2},الحساب {0}: الحساب الرئيسي {1} لا ينتمي إلى الشركة: {2}
Account {0}: Parent account {1} does not exist,الحساب {0}: الحساب الرئيسي {1} غير موجود
Account {0}: You can not assign itself as parent account,الحساب {0}: لا يمكنك جعله حساب رئيسي
Account: {0} can only be updated via Stock Transactions,الحساب: {0} لا يمكن تحديثه إلا من خلال معاملات المخزون
Account: {0} with currency: {1} can not be selected,الحساب: {0} مع العملة: {1} لا يمكن اختياره
Accountant,محاسب
Accounting,الحسابات
Accounting Entry for Asset,الحسابات الخاصة بالأصول
Accounting Entry for Stock,القيود المحاسبية للمخزون
Accounting Entry for {0}: {1} can only be made in currency: {2},المدخل المحاسبي ل {0}: {1} يمكن أن يكون فقط بالعملة {1}.
Accounting Ledger,موازنة دفتر الأستاذ
Accounting journal entries.,القيود المحاسبية لدفتر اليومية
Accounts,الحسابات
Accounts Manager,مدير حسابات
Accounts Payable,الحسابات الدائنة
Accounts Payable Summary,ملخص الحسابات المستحقة للدفع
Accounts Receivable,الحسابات المدينة
Accounts Receivable Summary,ملخص الحسابات المدينة
Accounts User,موظف حسابات
Accounts table cannot be blank.,جدول الحسابات لا يمكن أن يكون فارغا.
Accrual Journal Entry for salaries from {0} to {1},مدخل يومية تراكمية للرواتب من {0} إلى {1}
Accumulated Depreciation,إستهلاك متراكم
Accumulated Depreciation Amount,قيمة الاستهلاك المتراكمة
Accumulated Depreciation as on,الاستهلاك المتراكم كما في
Accumulated Monthly,متراكمة شهريا
Accumulated Values,القيم المتراكمة
Accumulated Values in Group Company,القيم المتراكمة في مجموعة الشركة
Achieved ({}),ما تم تحقيقه
Action,حدث
Action Initialised,تم بدء الإجراء
Actions,تعديل/مسح/إضافة
Active,مفعل
Activity Cost exists for Employee {0} against Activity Type - {1},تكلفة النشاط موجودة للموظف {0} مقابل نوع النشاط - {1}
Activity Cost per Employee,تكلفة النشاط لكل موظف
Activity Type,نوع النشاط
Actual Cost,التكلفة الفعلية
Actual Delivery Date,تاريخ التسليم الفعلي
Actual Qty,الكمية الفعلية
Actual Qty is mandatory,يجب إدخال الكمية الفعلية
Actual Qty {0} / Waiting Qty {1},الكمية الفعلية {0} / الكمية المنتظره {1}
Actual Qty: Quantity available in the warehouse.,الكمية الفعلية : الكمية المتوفرة في المستودع.
Actual qty in stock,الكمية الفعلية في المخزن
Actual type tax cannot be included in Item rate in row {0},نوع الضريبة الفعلي لا يمكن تضمينه في معدل الصنف في الصف {0}
Add,إضافة
Add / Edit Prices,إضافة و تعديل الأسعار
Add Comment,أضف تعليق
Add Customers,إضافة العملاء
Add Employees,إضافة موظفين
Add Item,اضافة صنف
Add Items,إضافة أصناف
Add Leads,إضافة العملاء المحتملين
Add Multiple Tasks,إضافة مهام متعددة
Add Row,اضف صف
Add Sales Partners,إضافة شركاء بيع
Add Serial No,إضافة رقم تسلسلي
Add Students,أضف طلاب
Add Suppliers,إضافة الموردين
Add Time Slots,إضافة فترة زمنية
Add Timesheets,إضافة جداول زمنية
Add Timeslots,إضافة مواعيد
Add Users to Marketplace,إضافة مستخدمين إلى السوق
Add a new address,أضف عنوانا جديدا
Add cards or custom sections on homepage,إضافة أقسام مخصصة على الصفحة الرئيسية
Add more items or open full form,إضافة المزيد من الأجزاء أو فتح استمارة كاملة
Add notes,أضف ملاحظات
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,أضف بقية أفراد مؤسستك كمستخدمين. يمكنك أيضا إضافة دعوة العملاء إلى برنامجك عن طريق إضافتهم من جهات الاتصال
Add to Details,إضافة إلى التفاصيل
Add/Remove Recipients,إضافة / إزالة المستلمين
Added,تم الاضافة
Added to details,تم اضافته الى التفاصيل
Added {0} users,تمت إضافة {0} مستخدمين
Additional Salary Component Exists.,مكون الراتب الإضافي موجود.
Address,عنوان
Address Line 2,عنوان آخر
Address Name,عنوان المكان
Address Title,إسم المكان
Address Type,نوع المكان
Administrative Expenses,مصاريف إدارية
Administrative Officer,موظف إداري
Administrator,مدير
Admission,القبول
Admission and Enrollment,القبول والتسجيل
Admissions for {0},قبول ل {0}
Admit,يتقدم
Admitted,تم قبوله
Advance Amount,المبلغ مقدما
Advance Payments,دفعات مقدمة
Advance account currency should be same as company currency {0},يجب أن تكون عملة الحساب المسبق مماثلة لعملة الشركة {0}
Advance amount cannot be greater than {0} {1},قيمة الدفعة المقدمة لا يمكن أن تكون أكبر من {0} {1}
Advertising,الدعاية
Aerospace,الفضاء
Against,مقابل
Against Account,مقابل الحساب
Against Journal Entry {0} does not have any unmatched {1} entry,قيد اليومية المقابل {0} لا يحتوى مدخل {1} غير مطابق
Against Journal Entry {0} is already adjusted against some other voucher,مدخل قيد اليومية {0} تم تعديله بالفعل لقسيمة أخرى
